Employee_ID,Employee_Gender,Salary,Birth_Date,Employee_Hire_Date,Employee_Term_Date,Marital_Status,Dependents
120101,M,163040,7535,17348,,S,0
120102,M,108255,4971,12205,,O,2
120103,M,87975,-2535,6575,,M,1
120104,F,46230,-600,9132,,M,1
120105,F,27110,6929,15826,,S,0
120106,M,26960,-4026,6575,,M,2
120107,F,30475,-2536,6606,,M,2
120108,F,27660,10280,18475,,S,0
120109,F,26495,11306,18536,,M,3
120110,M,28615,-2233,8705,,M,1
120111,M,26895,-2353,6879,,M,3
120112,F,26550,4796,12600,,M,3
120113,F,26870,-4253,6575,,S,0
120114,F,31285,-4345,6575,,M,3
120115,M,26500,10355,18110,,M,2
120116,M,29250,1259,8797,,S,0
120117,M,31670,3176,11048,,O,1
120118,M,28090,1249,10409,,M,3
120119,M,30255,5103,15341,,M,1
120120,F,27645,-4258,6575,,M,3
120121,F,26600,-4169,6575,,M,1
120122,F,27475,-523,8217,,S,0
120123,F,26190,3193,10866,17928,M,3
120124,M,26480,1228,8460,,M,1
120125,M,32040,-391,8460,17744,M,2
120126,M,26780,11951,18475,,O,2
120127,F,28100,8404,15645,,M,2
120128,F,30890,11152,18567,,S,0
120129,M,30070,3248,10866,17256,S,0
120130,M,26955,10575,18383,,M,2
120131,M,26910,8668,17167,,S,0
120132,F,28525,-2462,8309,,S,0
120133,F,27440,11069,18536,,S,0
120134,M,28015,-2400,6575,18443,M,2
120135,M,32490,4774,15249,17652,M,3
120136,M,26605,8659,17198,,M,1
120137,F,29715,8471,18322,,S,0
120138,F,25795,8592,18444,,S,0
120139,F,26810,11187,18506,,S,0
120140,M,26970,11903,18536,,M,2
120141,F,27465,11759,18383,,M,1
120142,M,29695,11122,18444,,S,0
120143,M,26790,1232,9770,,S,1
120144,M,30265,11023,18536,,S,0
120145,M,26060,2943,10744,,O,0
120146,M,25985,1370,8979,18170,M,1
120147,F,26580,11706,18536,,M,3
120148,M,28480,-2301,8187,,S,0
120149,F,26390,6899,13515,,O,1
120150,M,29965,-541,9709,17652,M,1
120151,F,26520,-4058,6575,,M,3
120152,M,26515,8521,17988,,M,1
120153,F,27260,8527,15341,18293,M,2
120154,F,30490,-4182,6575,,M,1
120155,F,29990,10339,18353,,M,1
120156,F,26445,11932,18322,,O,0
120157,M,27860,11009,18597,,S,0
120158,M,36605,3117,11504,18140,S,0
120159,F,30765,2976,11139,,M,1
