Customer_ID,Employee_ID,Street_ID,Order_Date,Delivery_Date,Order_ID,Order_Type,Product_ID,Quantity,Total_Retail_Price,CostPrice_Per_Unit,Discount
63,121039,9260125492,11JAN2007,11JAN2007,1230058123,1,220101300017,1,$16.50,$7.45,
5,99999999,9260114570,15JAN2007,19JAN2007,1230080101,2,230100500026,1,$247.50,$109.55,
45,99999999,9260104847,20JAN2007,22JAN2007,1230106883,2,240600100080,1,$28.30,$8.55,
41,120174,1600101527,28JAN2007,28JAN2007,1230147441,1,240600100010,2,$32.00,$6.50,
183,120134,1600100760,27FEB2007,27FEB2007,1230315085,1,240200200039,3,$63.60,$8.80,
79,99999999,9260101874,02MAR2007,03MAR2007,1230333319,2,240100400005,1,$234.60,$115.95,
23,99999999,9260126679,03MAR2007,08MAR2007,1230338566,2,240800200062,1,$35.40,$16.15,
23,99999999,9260126679,03MAR2007,08MAR2007,1230338566,2,240800200063,2,$73.80,$16.85,
45,99999999,9260104847,09MAR2007,11MAR2007,1230371142,2,240500100004,2,$127.00,$28.00,
45,99999999,9260104847,09MAR2007,11MAR2007,1230371142,2,240500200003,1,$23.20,$11.10,
56,121059,9260111871,15MAR2007,15MAR2007,1230404278,1,220200300002,2,$75.00,$17.05,
183,120149,1600100760,22MAR2007,22MAR2007,1230440481,1,230100600005,1,$129.80,$63.20,
16,99999999,3940105865,24MAR2007,26MAR2007,1230450371,2,230100600018,2,$128.40,$32.20,
79,99999999,9260101874,24MAR2007,25MAR2007,1230453723,2,240500200056,1,$24.10,$11.55,
183,120134,1600100760,25MAR2007,25MAR2007,1230455630,1,240200100233,2,$91.80,$22.45,
2788,99999999,9050100001,28MAR2007,30MAR2007,1230478006,2,230100100025,2,$60.60,$13.15,
20,121066,9260118934,01APR2007,01APR2007,1230498538,1,230100300006,1,$68.50,$34.35,
70046,99999999,2600100017,02APR2007,03APR2007,1230500669,3,240200100131,2,$148.60,$41.35,
12386,99999999,4750100001,02APR2007,03APR2007,1230503155,2,220101400310,1,$31.80,$14.20,
23,99999999,9260126679,18APR2007,23APR2007,1230591673,2,220200200024,3,$178.50,$32.25,
36,99999999,9260128237,18APR2007,20APR2007,1230591675,3,240500100039,1,$34.50,$15.40,
79,121045,9260101874,18APR2007,18APR2007,1230591684,1,240200100076,4,"$1,796.00",$246.55,
61,99999999,3940108887,24APR2007,29APR2007,1230619748,2,220200100092,1,$83.00,$41.60,
61,99999999,3940108887,24APR2007,29APR2007,1230619748,2,220200300005,3,$345.00,$52.35,
13,99999999,3940105189,28APR2007,03MAY2007,1230642273,2,230100500082,1,$126.10,$58.60,
171,99999999,1600101555,01MAY2007,04MAY2007,1230657844,3,240100100646,1,$109.90,$46.80,
11171,99999999,2600100032,07MAY2007,09MAY2007,1230690733,3,240200100043,2,$282.40,$69.40,
14703,99999999,4750100002,08MAY2007,11MAY2007,1230699509,2,220100100044,1,$102.10,$48.65,
14703,99999999,4750100002,08MAY2007,11MAY2007,1230699509,2,220100400005,1,$81.30,$40.75,
79,99999999,9260101874,08MAY2007,09MAY2007,1230700421,2,230100100006,1,$176.00,$74.55,
79,99999999,9260101874,08MAY2007,09MAY2007,1230700421,2,230100500045,2,$2.60,$0.60,
79,99999999,9260101874,08MAY2007,09MAY2007,1230700421,2,230100500068,2,$3.40,$0.80,
928,99999999,9050100016,15MAY2007,19MAY2007,1230738723,2,230100600026,2,$237.20,$59.40,
19444,99999999,4750100001,16MAY2007,21MAY2007,1230744524,2,220100700024,1,$99.70,$47.45,
19444,99999999,4750100001,16MAY2007,21MAY2007,1230744524,2,220101000002,1,$17.70,$8.00,
71,121060,9260124130,16MAY2007,16MAY2007,1230745294,1,220200100179,1,$134.50,$67.35,
12,121039,9260103713,18MAY2007,18MAY2007,1230754828,1,220100100272,3,$68.40,$11.50,
12,121039,9260103713,18MAY2007,18MAY2007,1230754828,1,220101400269,4,$268.00,$29.80,
544,99999999,9050100008,21MAY2007,22MAY2007,1230771337,2,230100500012,3,$221.70,$33.25,
111,120148,1600102072,23MAY2007,23MAY2007,1230778996,1,230100500096,1,$35.50,$17.25,
88,99999999,9260100179,25MAY2007,28MAY2007,1230793366,2,240400200097,3,"$1,250.40",$124.20,
23,99999999,9260126679,27MAY2007,01JUN2007,1230804171,2,240500200073,3,$148.50,$20.65,
71,121064,9260124130,31MAY2007,31MAY2007,1230825762,1,230100500093,2,$265.60,$55.85,
23,99999999,9260126679,03JUN2007,08JUN2007,1230841456,2,240700400024,2,$127.20,$33.15,
75,121094,9260108068,03JUN2007,03JUN2007,1230841466,1,240500100062,2,$109.20,$23.85,
75,121094,9260108068,03JUN2007,03JUN2007,1230841466,1,240500200130,2,$56.00,$11.70,
56,121043,9260111871,11JUN2007,11JUN2007,1230885738,1,220101300017,2,$33.00,$7.45,
56,121043,9260111871,11JUN2007,11JUN2007,1230885738,1,220101400098,3,$97.20,$14.85,
18,121086,9260112361,16JUN2007,16JUN2007,1230912536,1,240500200121,2,$50.80,$12.10,
17023,99999999,2600100021,20JUN2007,25JUN2007,1230931366,3,240200200007,2,$166.80,$8.35,
17023,99999999,2600100021,20JUN2007,25JUN2007,1230931366,3,240200200061,2,$261.80,$52.45,
171,99999999,1600101555,03JUL2007,06JUL2007,1231002241,3,220101200029,1,$52.30,$22.65,
70108,99999999,2600100046,04JUL2007,05JUL2007,1231008713,2,240200200039,2,$42.40,$8.80,
2806,99999999,8010100089,04JUL2007,08JUL2007,1231014780,2,240100400043,4,"$1,064.00",$131.50,
215,120145,1600102721,07JUL2007,07JUL2007,1231023774,1,230100500024,1,$22.90,$10.85,
215,120145,1600102721,07JUL2007,07JUL2007,1231023774,1,230100600015,1,$78.20,$39.20,
13,99999999,3940105189,09JUL2007,14JUL2007,1231035308,2,230100600023,2,$146.80,$36.80,
36,99999999,9260128237,15JUL2007,17JUL2007,1231071449,3,240400200057,2,$257.00,$58.05,
36,99999999,9260128237,15JUL2007,17JUL2007,1231071449,3,240400200066,2,$27.60,$6.30,
12,121064,9260103713,16JUL2007,16JUL2007,1231077006,1,230100500095,2,$193.80,$40.00,
61,99999999,3940108887,20JUL2007,25JUL2007,1231094514,2,230100500074,4,$544.00,$51.30,
61,99999999,3940108887,20JUL2007,25JUL2007,1231094514,2,230100600005,2,$259.60,$63.20,
79,121027,9260101874,27JUL2007,27JUL2007,1231135703,1,210200900004,2,$92.00,$16.05,
79,121027,9260101874,27JUL2007,27JUL2007,1231135703,1,210201000050,2,$39.00,$8.95,
31,121059,9260128428,02AUG2007,02AUG2007,1231169108,1,220200300157,3,$220.20,$36.65,
215,120164,1600102721,04AUG2007,04AUG2007,1231176288,1,240500200100,2,$45.40,$10.85,
111,99999999,1600102072,06AUG2007,08AUG2007,1231188317,2,220100900029,1,$30.80,$12.35,
3959,99999999,8010100151,06AUG2007,07AUG2007,1231194004,3,240100100610,2,$122.00,$27.55,
3959,99999999,8010100151,06AUG2007,07AUG2007,1231194004,3,240100400143,2,$330.00,$82.60,
71,120732,9260124130,08AUG2007,08AUG2007,1231204878,1,230100600017,2,$111.40,$27.95,
215,120134,1600102721,09AUG2007,09AUG2007,1231206746,1,240200100232,1,$28.20,$14.20,
70187,99999999,2600100035,13AUG2007,18AUG2007,1231227910,2,240200200013,3,"$1,266.00",$42.20,
20,121040,9260118934,13AUG2007,13AUG2007,1231231220,1,220101400306,2,$145.20,$33.10,
45,121045,9260104847,18AUG2007,18AUG2007,1231259703,1,240200100051,3,$420.90,$72.00,
52,99999999,9260116235,20AUG2007,26AUG2007,1231270767,3,230100600022,2,$168.20,$42.15,
12,121037,9260103713,24AUG2007,24AUG2007,1231292064,1,220101400060,3,$96.30,$14.70,
12,121037,9260103713,24AUG2007,24AUG2007,1231292064,1,220101400117,2,$91.20,$20.85,
16,99999999,3940105865,27AUG2007,04SEP2007,1231305521,2,220200100035,2,$125.20,$31.40,
16,99999999,3940105865,27AUG2007,29AUG2007,1231305531,2,220200100090,2,$177.20,$44.40,
20,121109,9260118934,28AUG2007,28AUG2007,1231314893,1,240700200024,2,$32.00,$6.35,
2806,99999999,8010100089,28AUG2007,01SEP2007,1231316727,2,240100400076,2,$224.60,$68.60,
2806,99999999,8010100089,28AUG2007,01SEP2007,1231316727,2,240100400143,2,$330.00,$82.60,
61,99999999,3940108887,29AUG2007,03SEP2007,1231317443,2,230100700002,2,$440.00,$135.00,
71,121057,9260124130,02SEP2007,02SEP2007,1231341359,1,220200200018,2,$132.80,$30.25,
36,99999999,9260128237,11SEP2007,13SEP2007,1231392762,3,230100600023,2,$146.80,$36.80,
36,99999999,9260128237,15SEP2007,17SEP2007,1231414059,3,240800200008,1,$150.25,$60.10,
70046,99999999,2600100017,23SEP2007,24SEP2007,1231453831,3,240200100052,1,$99.70,$51.40,
70046,99999999,2600100017,23SEP2007,24SEP2007,1231453831,3,240200200015,1,$24.00,$10.55,
52,121044,9260116235,25SEP2007,30SEP2007,1231468750,1,220100100153,1,$50.00,$25.10,
19444,99999999,4750100001,01OCT2007,06OCT2007,1231500373,2,220101200006,1,$52.20,$20.95,
88,121043,9260100179,01OCT2007,01OCT2007,1231501254,1,220100700052,1,$106.10,$50.50,
52,99999999,9260116235,05OCT2007,11OCT2007,1231522431,3,240100100065,1,$34.70,$13.80,
14703,99999999,4750100002,09OCT2007,12OCT2007,1231544990,2,220101400385,1,$24.80,$12.35,
70108,99999999,2600100046,22OCT2007,23OCT2007,1231614059,2,220101200020,1,$55.90,$24.20,
61,99999999,3940108887,23OCT2007,28OCT2007,1231619928,2,230100600036,1,$103.20,$50.40,
11,99999999,3940108592,29OCT2007,03NOV2007,1231653765,3,230100200047,1,$72.70,$35.20,
63,121061,9260125492,29OCT2007,02NOV2007,1231657078,1,220200300116,1,$84.20,$38.35,
5,121025,9260114570,30OCT2007,30OCT2007,1231663230,1,240100100433,1,$3.00,$1.15,
544,99999999,9050100008,12NOV2007,13NOV2007,1231734609,2,230100500091,1,$191.00,$80.45,
1033,99999999,9050100001,12NOV2007,16NOV2007,1231734615,3,230100600005,1,$129.80,$63.20,
17,121037,9260123306,16NOV2007,16NOV2007,1231757107,1,220100100568,1,$84.10,$42.15,
