SITE	COUNTRY	DATE	P_CLOVER	YIELD	PROTEIN	FIBRE
1	Belgium	26/05/2003	64	7.586389961	1.59	29.89
1	Belgium	26/05/2003	64	5.804434013	1.59	31.63
1	Belgium	26/05/2003	64	6.165364255	2.6	26.72
1	Belgium	26/05/2003	64	5.876474961	1.97	30.09
1	Belgium	26/05/2003	100	6.917347678	1.82	31.26
1	Belgium	26/05/2003	0	5.744539949	1.3	27.76
1	Belgium	26/05/2003	0	4.725364322	1.07	31.92
1	Belgium	26/05/2003	0	4.469600603	3.86	22.27
1	Belgium	26/05/2003	0	3.387988443	3.48	24.13
1	Belgium	26/05/2003	64	6.463428009	1.51	29.48
1	Belgium	26/05/2003	64	5.118735714	1.66	29.27
1	Belgium	26/05/2003	64	5.916795866	2.24	28.62
1	Belgium	26/05/2003	64	6.122413123	2.32	29.34
1	Belgium	26/05/2003	100	6.541977804	1.97	29.23
1	Belgium	26/05/2003	0	6.455053735	1.25	28.78
1	Belgium	26/05/2003	0	3.942205809	1.31	28.18
1	Belgium	26/05/2003	0	4.078022293	2.96	25.41
1	Belgium	26/05/2003	0	3.885117108	3.69	23.41
1	Belgium	07/07/2003	64	5.704582875	2.71	26.68
1	Belgium	07/07/2003	64	4.278885673	2.52	29.55
1	Belgium	07/07/2003	64	5.196746411	3.05	30.17
1	Belgium	07/07/2003	64	4.142266072	2.77	31.25
1	Belgium	07/07/2003	100	4.480474771	2.99	27.95
1	Belgium	07/07/2003	0	3.100593407	1.49	27.68
1	Belgium	07/07/2003	0	2.93979202	1.64	28.6
1	Belgium	07/07/2003	0	5.092549437	3.14	29.81
1	Belgium	07/07/2003	0	2.678685121	3.59	25.91
1	Belgium	07/07/2003	64	4.97824533	2.6	29.84
1	Belgium	07/07/2003	64	4.601645266	2.7	29.24
1	Belgium	07/07/2003	64	5.192011936	3.08	29.62
1	Belgium	07/07/2003	64	4.98821684	3.12	28.93
1	Belgium	07/07/2003	100	4.627865644	2.58	31.74
1	Belgium	07/07/2003	0	3.285679697	1.48	28.28
1	Belgium	07/07/2003	0	2.689663462	1.45	25.94
1	Belgium	07/07/2003	0	5.617972764	3.31	28.63
1	Belgium	07/07/2003	0	2.941756062	3.51	25.62
1	Belgium	25/08/2003	64	4.072052402	2.86	26.94
1	Belgium	25/08/2003	64	3.528773073	3.09	25.66
1	Belgium	25/08/2003	64	4.996367599	3.08	24.92
1	Belgium	25/08/2003	64	3.341683113	3.02	24.95
1	Belgium	25/08/2003	100	4.166956119	3	25.25
1	Belgium	25/08/2003	0	0.971671489	2.48	26.37
1	Belgium	25/08/2003	0	0.808273085	2.43	27.56
1	Belgium	25/08/2003	0	4.462720945	2.95	25.9
1	Belgium	25/08/2003	0	2.477477477	3.52	22.75
1	Belgium	25/08/2003	64	3.058608059	3.12	24.96
1	Belgium	25/08/2003	64	2.599702891	3.01	24.92
1	Belgium	25/08/2003	64	3.296309304	2.99	23.87
1	Belgium	25/08/2003	64	3.305186077	3.08	24.46
1	Belgium	25/08/2003	100	4.21918995	2.8	25.98
1	Belgium	25/08/2003	0	1.367239653	2.8	25.51
1	Belgium	25/08/2003	0	0.692112765	2.64	29.21
1	Belgium	25/08/2003	0	4.043428966	2.97	25.47
1	Belgium	25/08/2003	0	2.306192101	3.43	22.93
1	Belgium	13/10/2003	64	1.52507644	3.9	22.06
1	Belgium	13/10/2003	64	1.599466929	3.77	21.69
1	Belgium	13/10/2003	64	1.617835322	4.21	20.75
1	Belgium	13/10/2003	64	1.793142734	3.79	21.6
1	Belgium	13/10/2003	100	1.7099231	3.88	22.92
1	Belgium	13/10/2003	0	0.932179238	2.81	25.44
1	Belgium	13/10/2003	0	1.384778624	2.24	23.51
1	Belgium	13/10/2003	0	1.652011665	4.2	19.78
1	Belgium	13/10/2003	0	1.508421348	4.6	19.02
1	Belgium	13/10/2003	64	1.820195195	3.86	21.53
1	Belgium	13/10/2003	64	1.650090416	3.73	22.01
1	Belgium	13/10/2003	64	1.371112657	4.18	21.17
1	Belgium	13/10/2003	64	1.752373247	3.83	22.2
1	Belgium	13/10/2003	100	1.672661871	3.97	21.16
1	Belgium	13/10/2003	0	1.104150699	2.64	25
1	Belgium	13/10/2003	0	1.320184156	2.41	22.73
1	Belgium	13/10/2003	0	1.295428873	4.48	17.94
1	Belgium	13/10/2003	0	1.363336992	4.73	18.78
10	Germany	10/05/2004	64	8.207	2.51	25.45
10	Germany	10/05/2004	64	7.737	2.56	27.15
10	Germany	10/05/2004	64	8.451	3.1	24.46
10	Germany	10/05/2004	64	7.57	2.76	24.14
10	Germany	10/05/2004	100	8.191	2.56	25.91
10	Germany	10/05/2004	88	9.178	2.68	24.74
10	Germany	10/05/2004	88	7.329	3.13	24.52
10	Germany	10/05/2004	88	8.116	2.33	25.22
10	Germany	10/05/2004	88	8.125	2.98	25.43
10	Germany	10/05/2004	88	7.624	2.71	25.78
10	Germany	10/05/2004	88	9.561	2.91	24.44
10	Germany	10/05/2004	0	8.038	2.13	26.62
10	Germany	10/05/2004	0	6.373	2.14	29.25
10	Germany	10/05/2004	0	7.58	3.25	24.99
10	Germany	10/05/2004	0	4.412	3.64	21.4
10	Germany	10/05/2004	64	8.896	2.64	25.33
10	Germany	10/05/2004	64	8.582	2.46	27.39
10	Germany	10/05/2004	64	7.342	3.03	25.09
10	Germany	10/05/2004	64	6.702	2.9	24.71
10	Germany	10/05/2004	100	7.62	2.85	26.03
10	Germany	10/05/2004	88	7.282	2.38	26.24
10	Germany	10/05/2004	88	7.905	2.54	24.04
10	Germany	10/05/2004	88	8.062	2.74	24.31
10	Germany	10/05/2004	88	7.134	3.19	25.31
10	Germany	10/05/2004	88	8.304	2.69	27.37
10	Germany	10/05/2004	88	8.112	2.98	25.2
10	Germany	10/05/2004	0	7.457	2.08	24.56
10	Germany	10/05/2004	0	6.293	2.31	27.89
10	Germany	10/05/2004	0	8.359	3.11	24.75
10	Germany	10/05/2004	0	4.88	3.67	22.42
10	Germany	08/07/2004	64	3.816	1.88	25.01
10	Germany	08/07/2004	64	3.68	1.91	26.92
10	Germany	08/07/2004	64	4.899	2.33	28.56
10	Germany	08/07/2004	64	4.119	2.19	27.93
10	Germany	08/07/2004	100	4.397	2.23	25.58
10	Germany	08/07/2004	88	4.769	1.93	27.71
10	Germany	08/07/2004	88	5.716	2.73	29.28
10	Germany	08/07/2004	88	4.339	1.93	24.43
10	Germany	08/07/2004	88	6.74	2.43	29.42
10	Germany	08/07/2004	88	4.35	2.27	27.76
10	Germany	08/07/2004	88	6.054	2.47	27.1
10	Germany	08/07/2004	0	2.19	1.47	22.24
10	Germany	08/07/2004	0	3.44	1.57	30.13
10	Germany	08/07/2004	0	5.403	3.05	24.74
10	Germany	08/07/2004	0	1.922	3.25	22.31
10	Germany	08/07/2004	64	5.071	2.4	27.16
10	Germany	08/07/2004	64	4.273	2.07	30.15
10	Germany	08/07/2004	64	4.575	2.62	27.67
10	Germany	08/07/2004	64	3.785	2.12	27.76
10	Germany	08/07/2004	100	4.625	2.13	28.26
10	Germany	08/07/2004	88	4.337	1.73	27.03
10	Germany	08/07/2004	88	4.093	1.61	27.5
10	Germany	08/07/2004	88	4.74	2.43	29.12
10	Germany	08/07/2004	88	5.102	2.36	28.25
10	Germany	08/07/2004	88	4.578	2.35	27.99
10	Germany	08/07/2004	88	4.504	2.5	29.18
10	Germany	08/07/2004	0	3.123	1.61	22.69
10	Germany	08/07/2004	0	2.896	1.81	27.64
10	Germany	08/07/2004	0	5.1	2.71	27.57
10	Germany	08/07/2004	0	2.625	3.38	24.55
11	Germany	19/05/2005	64	3.729533187	2.76	22.27
11	Germany	19/05/2005	64	4.659341548	3.32	22.21
11	Germany	19/05/2005	64	5.300127869	3.37	25.01
11	Germany	19/05/2005	64	4.149385113	3.61	22.01
11	Germany	19/05/2005	100	4.162319193	3.42	22.83
11	Germany	19/05/2005	88	4.009609906	3.26	23.7
11	Germany	19/05/2005	88	4.374736882	3.35	22.06
11	Germany	19/05/2005	88	5.066945177	2.46	22.95
11	Germany	19/05/2005	88	4.934262201	3.52	22.25
11	Germany	19/05/2005	88	4.368087231	3.42	24.04
11	Germany	19/05/2005	88	4.575823689	3.85	23.46
11	Germany	19/05/2005	0	3.125887612	2.28	20.34
11	Germany	19/05/2005	0	3.516803628	3.31	24.33
11	Germany	19/05/2005	0	4.516886804	3.89	22.61
11	Germany	19/05/2005	0	4.006227221	3.76	22.17
11	Germany	19/05/2005	64	3.483092054	2.98	22.71
11	Germany	19/05/2005	64	4.076832962	3.21	23.34
11	Germany	19/05/2005	64	4.766033961	3.63	25.01
11	Germany	19/05/2005	64	5.072645675	2.53	23.69
11	Germany	19/05/2005	100	4.436622222	3.81	22.72
11	Germany	19/05/2005	88	3.740851134	3.32	25.34
11	Germany	19/05/2005	88	4.434073084	3.35	25.42
11	Germany	19/05/2005	88	4.213222568	3.41	23.09
11	Germany	19/05/2005	88	5.172438605	3.41	22.25
11	Germany	19/05/2005	88	4.007561088	3.23	24.01
11	Germany	19/05/2005	88	4.892908828	3.57	24.42
11	Germany	19/05/2005	0	3.434857591	2.38	20.27
11	Germany	19/05/2005	0	3.019930265	2.88	25.91
11	Germany	19/05/2005	0	4.37916872	4.16	23.19
11	Germany	19/05/2005	0	4.017539683	3.91	20.74
11	Germany	28/06/2005	64	3.818498368	2.29	28.59
11	Germany	28/06/2005	64	3.637317975	2.98	27.3
11	Germany	28/06/2005	64	3.614338616	3.33	27.42
11	Germany	28/06/2005	64	3.500143435	3.23	27.47
11	Germany	28/06/2005	100	3.525329022	2.67	28.18
11	Germany	28/06/2005	88	3.745330813	2.36	28.14
11	Germany	28/06/2005	88	4.350436139	2.77	28.31
11	Germany	28/06/2005	88	3.032475882	2.34	27.99
11	Germany	28/06/2005	88	4.025557347	3.08	27.04
11	Germany	28/06/2005	88	4.07189061	3.3	27.03
11	Germany	28/06/2005	88	3.885329773	3.62	25.09
11	Germany	28/06/2005	0	3.637223582	2.13	27.95
11	Germany	28/06/2005	0	3.335806986	2.66	29.19
11	Germany	28/06/2005	0	4.169984762	3.5	26.2
11	Germany	28/06/2005	0	1.875520293	3.56	22.82
11	Germany	28/06/2005	64	3.871739237	2.42	27.69
11	Germany	28/06/2005	64	3.351528841	3.18	27.67
11	Germany	28/06/2005	64	3.723930979	3.2	27.59
11	Germany	28/06/2005	64	3.255097744	2.77	27.61
11	Germany	28/06/2005	100	4.050679215	2.88	27.88
11	Germany	28/06/2005	88	3.283715638	2.91	27.53
11	Germany	28/06/2005	88	3.911329358	3.17	27.11
11	Germany	28/06/2005	88	3.553596423	2.79	27.34
11	Germany	28/06/2005	88	4.911821016	2.96	27.01
11	Germany	28/06/2005	88	3.915730081	2.78	28.42
11	Germany	28/06/2005	88	3.7880727	3.14	27.15
11	Germany	28/06/2005	0	3.080453352	2.61	26.71
11	Germany	28/06/2005	0	3.252446184	2.57	29.96
11	Germany	28/06/2005	0	3.757080145	3.17	27.7
11	Germany	28/06/2005	0	3.199010877	3.03	27.31
11	Germany	19/08/2005	64	3.597068832	2.22	25.73
11	Germany	19/08/2005	64	3.930667058	2.18	27.44
11	Germany	19/08/2005	64	4.342468619	3.12	27.52
11	Germany	19/08/2005	64	3.611475118	2.73	26.09
11	Germany	19/08/2005	100	3.8	2.53	28.37
11	Germany	19/08/2005	88	3.907236684	2.53	26.51
11	Germany	19/08/2005	88	3.910730524	2.74	26.73
11	Germany	19/08/2005	88	4.332126984	1.73	25.77
11	Germany	19/08/2005	88	3.616707868	2.85	26.66
11	Germany	19/08/2005	88	3.764535585	2.47	27.37
11	Germany	19/08/2005	88	4.140318085	2.66	27.36
11	Germany	19/08/2005	0	5.865332943	2.18	46.64
11	Germany	19/08/2005	0	4.558142058	2.01	32.21
11	Germany	19/08/2005	0	4.707785336	2.82	26.75
11	Germany	19/08/2005	0	2.376880443	2.41	25.15
11	Germany	19/08/2005	64	3.9998336	2.28	26.4
11	Germany	19/08/2005	64	3.995717088	2.64	27.81
11	Germany	19/08/2005	64	4.666340673	2.68	27.84
11	Germany	19/08/2005	64	3.639364555	1.98	26.21
11	Germany	19/08/2005	100	4.269952165	2.46	27.71
11	Germany	19/08/2005	88	3.694480324	2.35	28.59
11	Germany	19/08/2005	88	4.178296804	2.74	25.64
11	Germany	19/08/2005	88	3.924022903	2.4	27.28
11	Germany	19/08/2005	88	4.542335965	2.93	27.3
11	Germany	19/08/2005	88	4.166558792	2.17	29.8
11	Germany	19/08/2005	88	3.792249069	2.73	26.54
11	Germany	19/08/2005	0	3.549670433	1.94	26.28
11	Germany	19/08/2005	0	4.497336094	1.82	31.89
11	Germany	19/08/2005	0	4.45004018	3.29	26.1
11	Germany	19/08/2005	0	2.326066696	2.97	25.1
11	Germany	05/10/2005	64	2.340150202	2.79	24.26
11	Germany	05/10/2005	64	2.293358815	2.86	26.25
11	Germany	05/10/2005	64	2.654315765	2.94	26.5
11	Germany	05/10/2005	64	2.695053015	2.99	24.22
11	Germany	05/10/2005	100	2.653624772	2.92	26.13
11	Germany	05/10/2005	88	2.466127754	3.06	25.32
11	Germany	05/10/2005	88	2.268106881	3.23	24.47
11	Germany	05/10/2005	88	2.141977091	2.59	26.03
11	Germany	05/10/2005	88	2.021179552	3.04	24.73
11	Germany	05/10/2005	88	2.600959233	2.74	27.01
11	Germany	05/10/2005	88	1.999922426	3.03	26.58
11	Germany	05/10/2005	0	1.613976378	2.6	23.94
11	Germany	05/10/2005	0	3.102896471	2.44	29.47
11	Germany	05/10/2005	0	1.232613552	4.66	21.53
11	Germany	05/10/2005	0	1.377927045	3.68	22.73
11	Germany	05/10/2005	64	2.102198062	2.82	24.67
11	Germany	05/10/2005	64	2.866870754	2.47	26.27
11	Germany	05/10/2005	64	2.6689248	3.32	24.08
11	Germany	05/10/2005	64	2.575091678	2.78	26.23
11	Germany	05/10/2005	100	2.566545894	2.78	24.68
11	Germany	05/10/2005	88	2.335015057	2.76	24.48
11	Germany	05/10/2005	88	2.289546563	3.09	24.44
11	Germany	05/10/2005	88	2.46909677	2.72	25.27
11	Germany	05/10/2005	88	2.441876751	3.27	26.5
11	Germany	05/10/2005	88	2.138773415	2.79	27.14
11	Germany	05/10/2005	88	2.332329238	2.99	26.46
11	Germany	05/10/2005	0	1.907759638	2.53	24.09
11	Germany	05/10/2005	0	2.756783849	2.66	29.52
11	Germany	05/10/2005	0	1.953937241	4.33	26.94
11	Germany	05/10/2005	0	1.89136306	3.31	24.27
13	Iceland	30/06/2003	64	4.4275	1.33	34.65
13	Iceland	30/06/2003	64	3.7875	1.34	31.62
13	Iceland	30/06/2003	64	3.4275	1.69	32.93
13	Iceland	30/06/2003	64	2.83	1.46	31.5
13	Iceland	30/06/2003	100	4.93	1.44	31.35
13	Iceland	30/06/2003	0	4.57	1.4	35.05
13	Iceland	30/06/2003	0	0.94	1.4	31.05
13	Iceland	30/06/2003	0	3.9675	2.17	30.45
