 obs1  obs2  obs3  obs4  obs5 obs6 obs7
-3.72 -1.40 -0.44 -0.25  1.16 2.67 2.42
-3.60 -2.42  0.24  1.44  2.25 3.20 3.55
-1.01  0.64  2.58  2.64  3.56 4.46 6.16
-4.05 -1.11  0.66  0.99  2.44 4.35 4.58
-1.15 -0.21 -0.20  1.99  1.03 2.77 3.78
-1.79  1.45  2.49  2.54  3.38 4.25 5.48
-2.92  0.14  2.34  1.18  3.05 3.87 4.22
-4.79 -2.38 -1.01  0.15  0.39 1.98 1.84
-3.10 -2.27 -0.88  2.32  1.09 2.36 3.17
-2.96 -0.78  0.37  0.64  1.43 2.10 3.79
-1.26  0.24  2.15  2.92  3.65 3.91 4.11
-0.64 -0.10  0.68  1.55  2.12 3.46 3.35
-0.82 -0.12  1.33  1.54  2.32 2.39 2.60
-1.58 -0.39  0.08  1.15  1.59 4.31 4.44
-3.73 -1.27 -0.27  0.44  1.05 2.05 3.92
-0.52  1.43  2.90  4.12  3.88 4.44 6.49
-2.95 -0.90  0.49  1.28  2.53 4.16 5.12
-6.14 -4.05 -1.80 -1.24 -0.20 1.86 1.66
-0.27  0.24  1.64  1.72  2.44 2.76 3.89
-1.05 -0.22 -0.15  0.17  0.67 2.16 0.99
-4.73 -1.34 -0.74 -0.61  0.65 2.27 2.50
-2.57 -0.90  0.50  1.89  1.57 2.89 3.13
-3.29 -2.52 -0.79 -0.21  0.69 2.06 3.10
-3.40 -2.07 -1.25  0.33  1.46 2.88 3.65
-2.70 -2.13  0.40  0.32  1.33 2.03 2.77
-3.57 -3.17 -0.84 -0.55 -0.39 0.41 0.84
-1.60  1.09  1.51  2.42  3.71 4.49 5.14
-2.59  0.60  0.88  2.52  1.45 2.99 4.22
-4.31 -2.49 -1.21 -0.60  0.46 1.69 0.98
-1.27  1.28  3.22  3.55  4.03 3.55 4.79
-1.96  0.30  1.13  1.11  3.38 3.70 3.86
-2.76 -2.06  0.62  0.74  2.22 2.74 3.77
-0.60  0.42  2.29  1.72  2.65 4.65 4.57
-2.91 -0.57  1.56  2.86  3.10 4.37 5.17
-1.55 -0.15  1.51  1.42  3.32 3.96 4.46
-2.20  0.47  0.34  1.94  3.02 3.36 4.66
-1.42  0.03 -0.02  3.37  2.51 3.73 4.05
-2.99 -0.80  0.38  1.54  1.72 3.72 3.72
-2.40 -2.38 -0.04  1.49  2.19 2.58 3.06
-3.37 -1.40 -0.82  0.94  1.82 2.72 2.70
-3.32 -0.89  0.06 -0.10  1.03 2.32 2.38
-3.49 -0.25  0.00  0.72  2.47 1.92 3.30
-5.84 -2.95 -0.99 -0.71  0.51 1.90 3.03
-0.42  1.87  3.68  3.55  4.59 5.44 5.81
-2.52 -0.22  1.69  1.47  3.93 5.42 6.34
-5.42 -1.68 -0.64  0.18  1.76 1.76 2.68
-1.54 -1.11  1.09  0.04  1.40 2.48 2.99
-2.85 -0.88 -0.41  1.09  1.84 0.66 2.99
-1.76  0.71  1.99  2.09  2.44 3.57 4.20
-2.38 -2.05 -0.36  2.03  2.57 3.10 3.86
-1.57 -1.79  1.58  1.34  2.41 2.89 4.07
-2.51 -0.35  0.43  0.67  2.59 3.08 4.15

