Series 1,Series 2,Series 3,Series 4,Series 5,Series 6
-1.596178672,-1.087261559,-0.543028967,-0.521568246,2.988971,0.4347619
0.9782052972,0.3617198507,-0.273604225,-0.080668162,2.965701,2.340153
-0.73435561,-0.208485805,0.0356419196,-0.285587042,1.771219,2.803299
-1.096293009,-1.371511347,-1.677494143,-1.606264335,1.690069,2.863605
1.493013425,1.429887899,0.6128373413,0.1417347533,1.895003,2.994216
-0.981517237,-0.275960112,0.2144643415,-0.164143148,2.00452,3.203627
-0.33646358,-0.777193835,-1.122462789,-0.909293773,2.244668,3.669073
0.1515360366,0.256485088,-0.117242118,-0.47134264,5.475014,3.604585
-1.639492667,-1.422125502,-1.518460193,-1.799395969,8.559855,2.327056
0.0550656943,-0.224763671,-1.256430262,-1.664378624,11.06912,0.398662
-0.961260329,-0.434364807,-0.917256863,-1.765916794,13.17815,-1.799899
0.3835741134,0.4327435313,-0.385409606,-0.980014448,13.70752,-4.632084
-1.426163126,-0.940359463,-1.119316107,-1.724383294,11.81164,-6.135387
2.423971746,2.228211307,1.283047381,0.8486985363,8.861014,-6.011484
-0.800981006,0.1563983746,1.138193323,0.8353541356,8.923484,-5.574396
0.4430215698,-0.20807364,-0.197761701,0.4602081348,10.00222,-3.714361
0.8212671259,0.9047162374,1.175683615,1.272881978,10.85213,-4.249789
-0.923122607,-0.894353254,-0.266108522,0.1239519456,10.40634,-4.41691
0.4565811313,-0.042165564,-0.281917146,0.0569958008,10.66679,-4.293541
-1.034209768,-0.823017847,-0.668944768,-0.777421302,11.25851,-5.5523
-0.758789572,-1.042668017,-1.586157434,-1.664605107,9.912367,-7.531639
-1.375878731,-1.255891961,-1.982910364,-2.58757607,8.083753,-7.102106
0.6212757713,0.7096092389,-0.479427226,-1.360451629,7.067246,-8.816025
-0.849452029,-0.130678649,-0.352431406,-1.219039958,6.905847,-10.17319
1.604993303,1.545979279,0.9254316765,0.5707473091,6.492375,-10.43292
-1.984547578,-1.353275118,-0.700552934,-0.896677272,5.639516,-11.36922
0.228179699,-0.495090908,-1.359458364,-1.212432726,6.577741,-11.72588
0.4858249258,0.9636445934,0.6683686853,-0.006301588,6.72443,-11.81689
0.5135393674,0.7583423068,0.9021993078,0.7533010365,5.464074,-12.12841
-0.111537247,-0.080757874,0.2992942473,0.5218829552,7.395939,-12.83998
-0.027756592,-0.240090102,-0.11698639,0.1774162618,8.64733,-13.39088
-0.393517325,-0.4606205,-0.415722599,-0.31868749,9.20317,-13.84104
0.6127071212,0.5115547058,0.2978932612,0.2566047135,11.52448,-14.87847
1.030509472,1.259881619,1.520675169,1.46516539,12.50279,-17.253
0.5121941481,0.5878992674,1.336601726,1.760031579,11.96375,-18.99258
1.212582297,0.9406698977,1.622337616,2.348695161,12.77558,-19.4971
-0.307712543,-0.406029942,0.6623532951,1.472926186,13.95925,-21.58263
0.6778977766,0.0821636492,0.4317277423,1.260504598,13.5194,-22.12933
-0.750157941,-0.789360433,-0.20783972,0.2190432461,13.37984,-22.39848
0.4540308849,0.0132389404,-0.146095468,0.1884735373,14.44116,-21.96281
-0.595400114,-0.424926733,-0.232175406,-0.274147903,16.25037,-24.78454
1.365761247,1.15030556,0.8894411554,0.9309872382,15.89519,-26.97859
-0.785465478,-0.381881027,0.3071435187,0.3629087638,15.45506,-28.64461
0.6995995158,0.1979941474,0.071227133,0.4883211584,16.62765,-27.26829
-1.071475841,-0.868172431,-0.511796228,-0.477515504,17.4863,-27.34
-1.071187382,-1.463670652,-1.928368055,-1.845683055,16.09373,-27.41485
0.910095949,0.9282071742,0.053146043,-0.54833927,16.65157,-27.62952
-1.655994337,-1.036444581,-0.927917577,-1.475115997,18.6115,-27.18034
-0.21666217,-0.602124539,-1.54145764,-1.782217337,20.34744,-28.67655
1.268003768,1.694337884,1.094674032,0.2685640145,21.4797,-27.99024
-1.05630714,-0.50287446,-0.041904125,-0.288023248,20.52462,-27.35679
-1.29295189,-1.734698486,-2.137997602,-1.965117084,18.79973,-28.03287
0.3696042157,0.3126633957,-0.664757297,-1.259430272,17.83299,-28.42415
-0.956970457,-0.394339267,-0.661287084,-1.401883485,17.50679,-27.20968
1.09964671,1.041726527,0.3340703446,-0.079780261,17.73241,-27.61778
-0.946793268,-0.373035835,-0.0670759,-0.436860044,17.19223,-25.95865
1.704104193,1.361765572,0.9466695779,1.012277537,15.50243,-24.70431
-3.104860772,-2.556491937,-1.741577418,-1.746669907,14.46637,-24.56957
1.715115693,0.6866862791,-0.768772925,-0.710649647,14.23178,-24.98444
-1.1036444,-0.032891659,0.2684481546,-0.601411377,14.45496,-24.81777
0.4745372115,0.1031384246,-0.408378308,-0.377990677,15.31026,-23.80913
-0.174248945,0.1764168642,0.2053808246,-0.125975677,17.19021,-22.86608
-0.309500664,-0.358832433,-0.44889982,-0.459612975,17.38305,-24.09832
1.740869941,1.724003502,1.49326941,1.356313122,16.66427,-23.03176
0.7172376305,1.180778665,2.109933583,2.265829162,16.61867,-22.18891
-1.199463027,-1.52059296,-0.625672923,0.2920703692,17.01129,-20.939
-1.23102236,-1.918374984,-2.190592781,-1.684718689,17.73377,-20.08907
1.201958233,1.09186266,0.217140345,-0.255912291,18.10387,-22.44515
-0.73052624,-0.052773436,0.2310403463,-0.257503269,20.90657,-21.91558
-0.622792921,-0.91080506,-1.207213913,-1.116807675,22.65633,-18.97331
-0.156019747,-0.132373905,-0.654254084,-1.025820045,23.97297,-17.44676
1.045030777,1.274766917,0.9202149788,0.4541108804,25.00941,-16.8073
0.3770015096,0.7632836338,1.213026131,1.126572338,26.12431,-17.85439
-1.815777267,-1.965248214,-1.51417606,-1.063990343,27.9538,-19.2239
0.5895424189,0.0008508883,-0.863079395,-0.850341386,30.06897,-20.65886
-1.669751423,-1.119877798,-1.198117488,-1.800150907,32.08877,-21.88921
0.5644163235,0.269585884,-0.771384815,-1.170534841,33.92423,-21.80898
-0.466339159,0.1670294553,-0.0148061,-0.769398418,34.5865,-21.6634
1.215124441,1.212774387,0.8420531141,0.5972556529,35.07866,-21.92658
-0.989353948,-0.560968423,-0.017254395,-0.083163901,35.39877,-21.37512
1.027914209,0.5581864054,0.2364310507,0.4916552846,34.27858,-22.10551
-1.264341947,-0.897881428,-0.44201058,-0.5045572,32.86244,-22.46046
0.378692739,-0.102111074,-0.632780819,-0.505756835,34.44182,-22.6608
-0.89760325,-0.556529831,-0.594649059,-0.961135298,35.89657,-22.82424
1.257491311,1.097030275,0.5394087107,0.3281220367,37.31066,-24.69058
-1.013728521,-0.483419476,-0.007735472,-0.220921847,38.6601,-26.4056
-0.140690039,-0.581277745,-0.951672855,-0.758015223,37.72806,-28.03845
-1.162639658,-1.005580111,-1.275191689,-1.611992289,37.10419,-26.91787
0.331011049,0.2332889066,-0.599100677,-1.056304924,37.06845,-27.25121
0.4633230119,0.9457200137,0.7281318511,0.1006760743,38.41652,-28.30695
-0.734345937,-0.532887253,-0.363687528,-0.452346394,38.74037,-29.66102
-0.499367703,-0.730836754,-1.086844453,-1.092713869,36.3841,-31.30109
0.4696330543,0.5477633633,0.0701388915,-0.326407732,33.13103,-32.36136
0.0053332843,0.3380721311,0.3810397277,0.0769459455,31.15525,-33.64052
-0.735543627,-0.755960768,-0.731276999,-0.694404012,29.22022,-34.42762
0.6037678426,0.4443172327,0.0153329411,-0.111205977,27.60575,-36.25767
-0.929405155,-0.594159441,-0.446390881,-0.683124222,28.57564,-36.58333
2.0147062,1.754940889,1.271182076,1.208441511,31.40982,-38.3596
-0.552469471,0.0923511754,1.059295489,1.059104384,34.59458,-37.64939
2.108950518,1.514984467,1.666974941,2.362267975,36.79242,-37.3926
-0.718769441,-0.372974574,0.9683909734,1.516839805,37.18215,-37.88451
1.142646019,0.3282093571,0.5676304663,1.541681201,36.7152,-38.54082
-0.806790768,-0.697972119,0.1073260469,0.5353728418,35.25569,-38.13133
0.6790589143,0.1150516775,0.0336262995,0.5433499509,32.65614,-37.18241
1.874401447,2.050925919,2.417648578,2.485605879,32.06727,-36.00348
-1.376229785,-1.184710825,0.1232913725,0.8037738782,33.23945,-34.94388
1.288695618,0.3594485625,0.1877117905,1.002467665,34.17646,-34.29584
-0.434843709,-0.091236199,0.5961127856,0.7107379326,34.92387,-33.37384
-0.063061008,-0.493704243,-0.410935976,0.0748861034,36.0167,-32.78533
-1.638183208,-1.692179543,-1.688632014,-1.63227066,35.43234,-33.35607
0.8702888947,0.5408784889,-0.440257671,-0.764938039,33.4669,-31.19504
0.8881534406,1.5527793,1.584384556,0.9408288683,32.27461,-30.58144
2.132817254,2.294645314,2.843340007,3.047308409,35.19999,-30.71097
-1.00803096,-0.855814855,0.6982228439,1.582031872,37.90242,-29.53469
0.2930178927,-0.685607149,-0.513406875,0.580018349,37.7052,-30.96585
0.9003076105,0.8728110521,1.134721925,1.336825731,38.53815,-34.03111
-1.182412759,-1.133306673,-0.462166671,-0.063846088,39.31572,-35.35238
-0.402913684,-0.974966237,-1.348843891,-1.026043108,38.4521,-34.08931
-0.732012411,-0.62565632,-1.054343358,-1.446490807,38.41887,-35.26107
1.76946471,1.837405746,1.183854781,0.6802131008,37.72162,-35.67993
-0.931263583,-0.250595158,0.4843081847,0.2935753223,37.33148,-36.80411
,,,,38.16441,-36.43553
,,,,36.86771,-34.82057
,,,,36.7322,-33.81239
,,,,38.2966,-32.87
,,,,38.00374,-31.61656
,,,,38.4049,-29.91702
,,,,37.8344,-28.56624
,,,,37.08371,-29.1575
,,,,37.18386,-29.56202
,,,,38.70205,-31.66535
,,,,40.16734,-32.0559
,,,,41.19901,-32.87114
,,,,41.54472,-32.61615
,,,,40.64874,-32.68766
,,,,41.79728,-31.50407
,,,,42.91023,-30.89194
,,,,42.25028,-32.13082
,,,,41.70904,-33.11613
,,,,40.94992,-34.05301
,,,,41.31926,-33.5372
,,,,41.1353,-31.82917
,,,,39.6753,-31.17535
,,,,38.38781,-33.39278
,,,,36.4392,-33.79248
,,,,35.39722,-32.19564
,,,,36.73868,-29.90712
,,,,38.17555,-27.18881
,,,,38.8656,-26.88302
,,,,37.43349,-25.15283
,,,,37.32549,-22.81505
,,,,37.89948,-22.22429
,,,,37.58836,-22.31881
,,,,37.74145,-23.47645
,,,,40.69214,-24.55203
,,,,42.70237,-25.25621
,,,,43.18816,-25.32927
,,,,44.3573,-24.90906
,,,,44.06233,-24.08731
,,,,42.84966,-23.34134
,,,,42.93242,-22.44814
,,,,43.14821,-21.09854
,,,,42.1778,-19.05567
,,,,40.36979,-18.00631
,,,,37.7312,-17.48991
,,,,36.30659,-17.629
,,,,36.37264,-17.40151
,,,,37.76402,-17.67691
,,,,40.66147,-17.02759
,,,,42.24492,-15.84407
,,,,41.53829,-15.49722
,,,,40.7455,-15.50556
,,,,41.23367,-15.65564
,,,,42.15298,-16.16249
,,,,42.83385,-15.3281
,,,,44.61763,-14.12162
,,,,46.85179,-14.1432
,,,,47.89637,-13.24904
,,,,48.3418,-13.54147
,,,,48.79675,-13.10948
,,,,51.00055,-13.92802
,,,,53.60963,-12.56735
,,,,54.35374,-10.5726
,,,,55.61866,-9.240313
,,,,55.1246,-9.45806
,,,,55.42392,-11.20906
,,,,57.0558,-11.02528
,,,,57.32131,-12.54512
,,,,55.73062,-15.02078
,,,,54.17188,-15.31169
,,,,53.37161,-16.68701
,,,,53.70698,-15.91287
,,,,53.90646,-17.18564
,,,,53.54957,-15.97024
,,,,54.92684,-15.46089
,,,,54.81018,-13.96725
,,,,53.5343,-14.54809
,,,,53.90977,-15.19353
,,,,54.76303,-18.00552
,,,,54.17442,-18.15217
,,,,53.0042,-18.75631
,,,,53.25813,-20.78559
,,,,54.06018,-22.59391
,,,,54.3349,-23.34619
,,,,53.91567,-22.5576
,,,,54.65413,-21.80904
,,,,55.26146,-21.61112
,,,,54.69313,-20.88712
,,,,54.0063,-21.71
,,,,53.13768,-23.46261
,,,,53.6649,-24.1562
,,,,54.31135,-23.7025
,,,,55.19982,-23.82813
,,,,55.42944,-23.36601
,,,,54.17345,-22.3303
,,,,54.03007,-23.00083
,,,,54.07298,-21.47258
,,,,53.65794,-21.1161
,,,,51.56337,-21.21643
,,,,48.23908,-21.52529
,,,,46.78126,-22.03731
,,,,47.15702,-20.93536
,,,,46.86278,-21.09411
,,,,47.53759,-21.10507
,,,,49.26983,-22.58547
,,,,49.06246,-21.87022
,,,,48.87958,-21.58291
,,,,50.17211,-20.40057
,,,,50.7808,-21.1777
,,,,51.25194,-20.69423
,,,,51.91372,-22.51487
,,,,52.29808,-24.47747
,,,,52.56181,-25.22678
,,,,55.2298,-25.66317
,,,,57.38601,-25.21249
,,,,57.23652,-25.77346
,,,,57.22678,-25.50785
,,,,59.29556,-25.24665
,,,,60.82101,-24.74735
,,,,61.47527,-26.35472
,,,,61.34365,-28.22528
,,,,60.07644,-29.10071
,,,,60.9496,-29.46369
,,,,62.93957,-30.1274
,,,,64.85506,-31.89262
,,,,65.82806,-32.47976
,,,,66.18609,-32.7986
,,,,66.25322,-31.0892
,,,,66.03044,-32.28742
,,,,66.66823,-30.86056
,,,,68.02455,-30.69348
,,,,68.84789,-29.78732
,,,,69.8589,-28.7226
,,,,68.86355,-29.3024
,,,,67.64274,-30.00579
,,,,66.96364,-31.45414
,,,,66.48904,-30.54708
,,,,66.75891,-28.75154
,,,,66.55464,-27.69169
,,,,67.6918,-27.89215
,,,,69.35466,-27.50656
,,,,71.31038,-28.58798
,,,,73.88296,-29.71457
,,,,74.33811,-26.38476
,,,,73.49473,-24.77046
,,,,73.37583,-25.16798
,,,,71.9073,-26.08284
,,,,72.04539,-26.46841
,,,,73.09987,-26.41521
,,,,73.79746,-25.58773
,,,,73.11682,-25.5161
,,,,72.7356,-27.37323
,,,,73.34323,-27.65578
,,,,74.3467,-26.44052
,,,,74.76898,-27.86409
,,,,74.74195,-26.11189
,,,,74.47747,-23.91721
,,,,74.33572,-22.55289
,,,,74.49303,-22.69904
,,,,72.81103,-21.47359
,,,,71.95707,-20.38346
,,,,72.65721,-19.84564
,,,,71.4884,-19.59286
,,,,70.8993,-20.90331
,,,,71.46157,-20.70905
,,,,69.30268,-20.6387
,,,,67.39345,-19.52559
,,,,68.4061,-18.64056
,,,,69.14528,-19.8723
,,,,68.4523,-20.6777
,,,,67.75789,-21.49851
,,,,67.71498,-23.33729
,,,,67.03363,-23.83226
,,,,67.43365,-23.02715
,,,,68.74212,-21.10231
,,,,69.25031,-20.54355
,,,,69.85382,-20.32583
,,,,68.17545,-20.01767
,,,,67.93173,-18.68623
,,,,69.65567,-15.50662
,,,,69.8225,-15.02409
,,,,70.2203,-15.0362
,,,,70.11818,-15.42912
,,,,70.48288,-14.27419
,,,,69.56682,-13.80532
,,,,68.20952,-15.80062
,,,,68.59843,-16.84932
,,,,70.27092,-17.24003
,,,,71.9495,-18.23631
,,,,71.90755,-17.63542
,,,,72.11312,-17.60512
,,,,71.83469,-17.19642
,,,,70.6498,-18.69461
,,,,72.08178,-20.12281
,,,,74.07604,-20.1934
,,,,76.29616,-18.95389
,,,,78.14109,-18.62569
,,,,77.47402,-18.62035
,,,,77.21478,-18.33462
,,,,77.03723,-20.02603
,,,,77.92569,-21.0451
,,,,79.23994,-20.53513
,,,,78.52263,-20.09193
,,,,78.34125,-20.76252
,,,,79.22828,-22.22167
,,,,79.5958,-24.27066
,,,,76.8688,-23.7807
,,,,74.0525,-23.73537
,,,,73.09865,-24.14833
,,,,70.95452,-23.765
,,,,70.97383,-24.72386
,,,,71.1191,-23.91391
,,,,68.10658,-22.67894
,,,,65.38753,-20.79822
,,,,65.15625,-19.48766
,,,,65.78459,-20.3116
,,,,65.4861,-21.09538
,,,,63.72506,-21.95864
,,,,63.7883,-21.0876
,,,,64.54394,-20.51926
,,,,63.80435,-21.37225
,,,,63.03597,-21.77542
,,,,63.15683,-23.37709
,,,,62.12403,-25.82356
,,,,58.95343,-26.37821
,,,,58.71697,-27.70754
,,,,61.97907,-29.12609
,,,,62.74497,-30.26036
,,,,61.46962,-30.93864
,,,,62.28499,-31.42917
,,,,62.50874,-32.05829
,,,,63.8115,-31.22268
,,,,66.87953,-29.82085
,,,,67.03683,-30.19295
,,,,64.62892,-29.71423
,,,,65.21847,-29.59663
,,,,67.13098,-30.19242
,,,,68.35761,-30.50842
,,,,68.3219,-29.59987
,,,,68.11774,-28.93551
,,,,67.91961,-29.83677
,,,,68.73701,-30.05813
,,,,70.82495,-29.31665
,,,,71.98619,-28.25803
,,,,72.3087,-26.31624
,,,,72.89533,-26.19277
,,,,73.73715,-26.94631
,,,,75.12637,-27.08533
,,,,75.98815,-26.49657
,,,,77.47808,-27.42178
,,,,78.88277,-27.34105
,,,,77.74562,-28.41608
,,,,76.36083,-29.38068
,,,,75.1553,-29.08383
,,,,72.93617,-28.69486
,,,,70.85487,-28.33618
,,,,68.63031,-28.44037
,,,,67.00313,-28.06567
,,,,65.79336,-28.38172
