Series1,Series2,Series3,Series4
-1.05617,-1.577831,0.3406083,0.709394
-1.89707,1.744118,-0.9239335,1.826541
-1.005515,-1.45621,0.2252816,2.613107
0.6944983,-0.2663768,0.01029314,4.190584
-1.901905,-0.8189865,-0.09402468,4.979142
-0.06548399,1.347972,-1.624063,4.886882
0.3150112,-0.5198582,-1.657563,4.769389
0.3544172,0.5409287,-0.7525368,5.770125
0.4858162,1.024338,0.9270164,7.330399
0.5577319,-0.6867262,1.585332,8.080259
0.835315,-0.4753552,3.145672,8.07072
1.163824,0.7826064,4.743048,9.872124
2.443758,-1.015974,7.574455,9.928461
0.04846704,-0.999801,9.485258,11.88485
0.2055122,1.010925,10.86493,14.46337
-0.8047637,0.4770387,11.71962,14.60341
0.1609945,-1.641345,14.08555,15.58339
-0.08358651,0.8103124,14.83113,14.91297
0.7443761,2.516059,15.21241,15.25683
1.62222,-4.247135,14.82985,15.3456
2.52592,1.946437,13.02825,14.90623
1.890977,0.1577266,11.57358,14.43576
0.2075388,-0.04060932,11.80309,13.82183
-0.9929706,1.009182,12.31931,12.78251
-0.9441863,-0.6315435,13.16267,12.83594
-0.8583407,0.2810634,13.57967,11.44321
-2.337738,-1.883505,14.92523,9.80085
-2.001422,1.22324,17.93187,8.644967
-1.771774,0.22028,20.06231,7.445376
-0.4319464,-0.2443917,22.98406,7.48623
1.037051,0.2752203,24.75199,9.160758
1.221016,1.38322,26.45196,10.54636
0.89051,-1.33949,27.09488,10.98497
-0.2408876,0.7298807,25.70646,11.60992
-0.3633325,1.034233,26.19696,11.65064
1.442733,-2.210951,28.05131,11.95003
2.470641,2.055315,29.37235,13.14637
1.151492,-2.543122,28.80858,13.16676
1.887356,2.882326,29.75246,12.88435
1.401515,-2.851974,30.13128,12.25699
0.6681731,-0.008079381,29.54684,9.649024
-0.8568267,0.8405284,28.34529,8.820126
-0.5440162,0.8213369,27.38986,6.032977
-1.924397,-0.5151964,27.62321,5.702165
-1.622196,0.8477926,27.83178,5.527922
0.1499304,-1.520249,29.027,5.814166
-0.601277,-0.1509138,27.82941,5.819907
