Series 1	Series 2	Series 3	Series 4	Series 5	Series 6
-2.438262	0.4347619	2.988971	0.7835992	-0.4391089	0.3065
-2.894184	2.340153	2.965701	0.2698455	-0.1326588	1.942
-2.146708	2.803299	1.771219	-0.6278085	1.809333	2.7714
-1.290352	2.863605	1.690069	-0.7425602	4.580699	3.1688
-1.430481	2.994216	1.895003	-0.08263574	7.749484	2.2588
0.7355921	3.203627	2.00452	0.3527241	10.0083	1.5673
0.77894	3.669073	2.244668	-2.091853	11.5756	0.0631
1.547471	3.604585	5.475014	1.691063	11.63874	-2.0911
-0.1010921	2.327056	8.559855	3.392923	9.547591	-2.8916
-0.2531508	0.398662	11.06912	1.854748	6.655999	-2.643
-0.3195261	-1.799899	13.17815	0.1656233	4.012977	-2.5961
-1.331178	-4.632084	13.70752	-1.789612	1.416885	-3.9586
-0.9473504	-6.135387	11.81164	0.4694998	-2.541687	-4.3944
-0.4878663	-6.011484	8.861014	-0.300979	-6.936123	-4.7782
-0.2813235	-5.574396	8.923484	-0.2877586	-11.71429	-4.1169
-1.768022	-3.714361	10.00222	-1.843374	-15.83122	-2.4117
-1.195307	-4.249789	10.85213	0.2405248	-18.24291	-1.8477
-0.4531835	-4.41691	10.40634	2.132215	-20.09059	-1.9811
0.5105673	-4.293541	10.66679	1.426877	-22.07173	-2.9636
0.2442226	-5.5523	11.25851	-1.218709	-25.03534	-5.0423
-0.4028508	-7.531639	9.912367	-0.991978	-30.07762	-4.326
0.4913288	-7.102106	8.083753	-3.363368	-34.40358	-1.6427
0.9426707	-8.816025	7.067246	-2.909104	-36.04628	0.4136
1.582638	-10.17319	6.905847	-0.5591921	-35.63265	0.2127
-0.4584835	-10.43292	6.492375	-0.2041612	-35.41991	0.0073
-0.6043692	-11.36922	5.639516	1.226818	-35.41258	-0.1848
-0.1340364	-11.72588	6.577741	3.133652	-35.59733	-0.1469
-1.115866	-11.81689	6.72443	-0.7308384	-35.7442	0.0787
0.3494393	-12.12841	5.464074	-1.536373	-35.6655	1.5233
1.290213	-12.83998	7.395939	0.2527099	-34.14216	2.9091
0.7031852	-13.39088	8.64733	0.1600969	-31.23304	1.8946
0.4475881	-13.84104	9.20317	-0.7866333	-29.33841	0.4466
1.38372	-14.87847	11.52448	0.1608464	-28.89176	0.4231
1.824901	-17.253	12.50279	-0.9311469	-28.46864	0.1411
0.675445	-18.99258	11.96375	-0.4800849	-28.32753	0.2452
-0.1409445	-19.4971	12.77558	1.18022	-28.08233	1.3423
0.8332396	-21.58263	13.95925	0.06535238	-26.74006	1.4301
-1.072543	-22.12933	13.5194	-1.529208	-25.30992	0.9906
-0.7658788	-22.39848	13.37984	-1.107019	-24.31937	1.4641
0.9285976	-21.96281	14.44116	-1.138572	-22.85532	3.1266
-0.2370559	-24.78454	16.25037	-1.729194	-19.72867	1.6837
-0.668742	-26.97859	15.89519	-2.042027	-18.04494	0.5585
0.1204531	-28.64461	15.45506	-2.568151	-17.48641	1.5173
1.152893	-27.26829	16.62765	-0.9812411	-15.96906	0.7392
1.031804	-27.34	17.4863	-1.297082	-15.22984	-2.15
0.2056386	-27.41485	16.09373	-2.281478	-17.37983	-2.9583
-1.106289	-27.62952	16.65157	0.9292412	-20.3381	-2.2647
-0.3029663	-27.18034	18.6115	0.5547556	-22.60275	-1.5839
-2.000785	-28.67655	20.34744	-0.1600244	-24.18664	-1.1831
-0.02060806	-27.99024	21.4797	0.2412665	-25.36978	-0.6373
-0.0718399	-27.35679	20.52462	-1.328452	-26.00704	-1.3571
-2.341592	-28.03287	18.79973	-2.840134	-27.36415	-2.2856
-0.8513018	-28.42415	17.83299	-2.380861	-29.64973	-2.3193
-1.520973	-27.20968	17.50679	1.150596	-31.96899	-1.1471
1.125412	-27.61778	17.73241	0.7463715	-33.11605	0.1742
-1.387472	-25.95865	17.19223	-0.1689802	-32.94183	-0.5907
-0.801989	-24.70431	15.50243	1.341541	-33.53257	-0.0801
-0.2401535	-24.56957	14.46637	2.335403	-33.61263	1.7225
0.4680345	-24.98444	14.23178	-0.7492828	-31.89017	2.6869
-0.6559832	-24.81777	14.45496	-1.79821	-29.20323	2.6524
-0.9380495	-23.80913	15.31026	0.638955	-26.5508	3.7301
-1.785379	-22.86608	17.19021	1.670716	-22.82074	6.5922
