Series 1,Series 2,Series 3
4.05459,-1.26454,-0.09442
2.8065,1.14922,-1.43967
1.44203,-0.21499,0.68994
1.88947,-0.10432,-0.38488
2.83521,-1.53004,0.92391
4.76553,-0.0335,1.84699
3.15483,0.90503,0.32748
-0.68899,1.67955,1.4003
-1.4943,0.65832,1.92887
-1.98186,1.56034,-1.01595
-2.49747,1.59738,-0.04035
-2.20377,2.83141,1.69953
-2.80583,1.9108,0.6971
-2.8632,1.37967,-3.07095
-2.23733,0.85469,-2.49803
-1.44092,2.36593,-0.39146
-1.17221,0.74558,-0.14817
-0.59013,0.38128,-0.15773
0.47992,-0.38256,-0.06301
2.05881,-1.8016,0.15377
2.35015,-1.45467,1.96
1.16169,0.22951,2.05152
0.80201,0.51622,1.36686
0.61608,0.84336,-1.11394
1.91331,0.417,0.86963
1.57919,1.34556,2.19201
-0.3664,3.00664,0.39873
-0.6188,2.13044,-0.78912
1.16802,2.92175,0.72301
2.26013,1.76793,-0.13339
1.42472,1.69997,-2.04546
-0.01316,0.64292,-0.59082
-0.56006,-1.38842,-0.63253
-1.21703,0.4905,1.52868
-3.18315,1.85435,2.28007
-2.77007,1.32104,1.41218
-4.38133,-0.56377,0.31048
-7.15199,0.94388,-1.40412
-5.45716,0.37882,-0.41243
-3.82928,-0.58444,0.7861
-1.39713,-1.20155,-1.41599
0.18783,-0.95543,-0.65018
0.01954,0.23335,1.27334
-0.6041,0.20857,0.42283
-1.90327,1.19522,0.18423
-1.52011,-1.19759,-1.40953
-0.98739,1.95266,-0.82819
-0.17873,0.05688,-0.09471
1.16446,-1.25332,1.79632
2.47439,-0.20111,0.31504
2.101,1.57915,-1.60176
0.0513,0.27419,-0.30395
-0.47982,-0.91448,-0.77397
0.82658,-0.41717,0.60414
1.18588,-0.57172,-1.19042
1.56668,1.4332,-0.07611
1.86254,-0.93221,1.59847
1.79529,-1.38949,-0.59668
2.42573,-2.79316,-1.54525
1.34375,-1.02651,-1.17566
1.09538,-0.51203,0.54986
2.11059,0.29411,0.85486
3.53097,0.13602,-0.93835
6.19378,-0.70038,-0.94804
5.49269,-1.19529,1.66357
3.28747,-1.93056,1.55538
0.2743,-0.35031,-1.57285
-2.86148,0.91668,0.79216
-0.83685,-0.5136,2.54513
2.48069,-0.49365,-0.14144
1.85826,-0.59277,-0.47139
0.80553,0.03837,0.11228
1.03743,-0.18451,0.22641
0.01347,0.82653,2.68215
0.70684,0.76624,-0.15855
1.22474,0.00303,-0.67586
0.53164,-0.03193,0.86582
-0.65761,1.53161,0.21865
-1.08953,1.39723,0.96669
0.02367,0.89997,-0.25893
0.07015,0.12456,-2.73129
-0.86974,-0.31459,-3.77528
-1.77086,0.57421,0.72699
-1.69932,-0.541,0.15309
-0.10048,-2.49742,1.0442
1.13404,-0.77418,1.31459
-0.4948,-0.69962,-1.16487
-0.1399,-1.14465,-1.41143
1.01198,-1.57179,-0.43836
0.55216,1.10082,1.17676
-1.07734,-0.00313,-0.28067
-3.03326,-1.06586,0.98028
-4.18006,0.43927,-0.36848
-2.7016,-0.00463,-0.98467
-0.92005,0.15502,-0.15774
-1.12027,1.22398,-1.67031
-2.40805,-1.24309,0.97907
-2.33749,-1.2554,1.21328
-0.09398,0.64746,-1.821
0.10607,0.69372,-1.06601
-0.41181,0.44996,-0.33334
0.92782,0.49076,0.99518
2.62665,-0.27677,0.651
3.4783,-1.37561,-2.12124
0.5173,-0.21632,-0.54962
-2.88362,-1.45189,1.32893
-0.84404,-2.12649,-1.0014
-0.11126,-1.60246,-1.72524
-0.00881,-0.39465,-1.47264
-0.28319,-0.4627,-0.12189
-2.15182,1.92113,1.56362
-1.74302,1.11264,1.5348
-0.12355,-0.02842,-0.30504
1.8592,-0.51337,0.62022
1.25577,-0.29212,1.88711
-0.51796,-0.71598,0.43029
-0.36418,0.35387,-1.52258
-1.53249,-1.28303,-0.20554
-2.26477,0.5188,0.35161
-0.70623,-0.58357,-0.33016
0.00203,0.74051,0.22535
-0.01072,-1.34096,-1.28302
-1.25676,-0.85719,1.07797
-2.34302,-0.02953,3.48501
-3.22292,2.21669,1.20912
-2.63919,2.98153,-0.16742
-1.24216,0.5626,0.0253
-0.81103,1.02562,0.8582
0.56037,1.57259,-0.14973
2.14097,2.20619,-0.70352
2.37854,1.0226,0.92372
1.01264,2.53915,-0.65101
-0.18405,1.76097,-0.45923
-0.13684,2.25844,1.03574
-0.33764,0.32563,-0.3424
0.95909,0.9881,0.86291
2.34664,0.63719,0.00425
0.12408,-0.15829,1.85348
-2.7635,-1.86582,1.98663
-2.31688,-1.06701,-1.16753
-2.80935,-0.75811,-0.82321
-3.78939,0.33664,-2.0895
-2.42851,0.35774,-0.79247
-2.95081,1.99454,1.92545
-4.0261,0.9846,-1.44014
-2.74534,0.35163,-3.74564
-0.91904,0.2875,-0.47577
0.05914,0.36963,1.10985
1.44073,0.14636,1.9929
3.34085,0.10652,1.55156
1.70555,,-0.96064
-1.55225,,-0.48364
-2.40356,,1.35901
-1.62422,,0.24524
-0.23685,,-0.0255
1.12639,,1.93932
0.87081,,-1.20306
2.04619,,-2.56218
2.78195,,-0.73094
2.8162,,0.94123
3.97932,,0.87098
4.43092,,-1.44678
4.6223,,0.20508
4.46962,,-0.34645
1.69754,,-1.5031
-1.7951,,-0.16997
-2.24984,,1.87472
-0.70715,,-0.04628
1.84475,,-0.15463
1.00623,,-0.43094
-0.68993,,-0.37231
-0.74474,,1.01742
-1.14425,,-1.29294
-0.92275,,-2.99193
0.01793,,-1.24474
0.00631,,1.60133
-1.21154,,1.25345
-0.86978,,1.22178
-1.2354,,0.46781
-2.67701,,-3.86049
-2.11509,,-0.48712
1.30073,,2.65889
1.36774,,0.41221
1.12476,,2.05336
1.63301,,1.55048
-0.16885,,0.00973
-0.59398,,1.46829
-1.60256,,1.3528
-3.24953,,-3.35753
-3.98765,,-3.22188
-3.32984,,1.34063
-1.22801,,-1.12005
-1.3898,,-2.36716
-1.24943,,-0.91951
-1.41729,,-0.59463
-0.67334,,1.67459
-1.91315,,0.27766
-3.47791,,-2.73793
-3.67347,,-0.42949
-1.50615,,1.85933
0.4121,,
-0.46304,,
-2.33128,,
